0.topic, 1.topic, 2.topic, 3.topic, 4.topic, 5.topic, 6.topic, 7.topic, 8.topic, 9.topic, 10.topic, 11.topic, 12.topic, 13.topic, 14.topic, class
0.008,0.01,0.026,0.042,0,0.002,0.011,0.087,0.001,0,0.002,0,0,0.002,0,kizgin
0.011,0.011,0.002,0.11900000000000001,0.003,0.002,0.013,0.09,0.001,0.004,0.003,0.006,0,0.002,0,kizgin
0.015,0.005,0.007,0.001,0.005,0,0.003,0,0.001,0,0,0.14700000000000002,0.023,0.001,0,kizgin
0.003,0,0,0,0,0.01,0.095,0,0.003,0,0,0,0.006,0,0,kizgin
0.008,0.019,0,0.043000000000000003,0,0.002,0.013,0.087,0.001,0,0.002,0.005,0,0.002,0,kizgin
0.017,0.004,0,0,0,0.01,0.095,0,0.007,0,0,0.10400000000000001,0.404,0.001,0,kizgin
0.014,0.004,0.001,0,0,0,0,0,0.002,0,0,0.10700000000000001,0.148,0.007,0,kizgin
0,0.008,0.002,0.072,0,0,0.001,0,0.004,0.005,0,0.001,0.003,0,0,kizgin
0.003,0,0,0,0,0.01,0.095,0,0.003,0,0,0,0.006,0,0,kizgin
0,0.033,0.002,0,0,0,0.014,0,0.004,0.001,0.001,0,0,0,0.006,kizgin
0.002,0,0.013,0.002,0,0,0.005,0.004,0,0,0,0.005,0.004,0,0,kizgin
0.003,0,0,0.002,0,0.01,0.095,0,0.004,0.056,0.002,0.002,0.131,0,0,kizgin
0,0.024,0.003,0,0,0.003,0.016,0.005,0,0.004,0,0.007,0.02,0,0,kizgin
0.002,0.034,0.015,0.002,0.01,0.007,0.019,0.004,0.004,0.001,0.001,0.005,0.004,0,0.006,kizgin
0.002,0.035,0.002,0,0,0,0.014,0,0.004,0.006,0.004,0.007,0,0.003,0.006,kizgin
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kizgin
0.001,0.001,0.003,0,0,0,0,0,0,0,0.001,0.007,0.099,0.003,0,kizgin
0,0.044000000000000004,0.002,0.014,0,0.003,0.028000000000000004,0,0.004,0.001,0.001,0.048999999999999995,0,0,0.006,kizgin
0,0,0,0.072,0,0,0.001,0,0,0.001,0,0.001,0.003,0,0,kizgin
0.001,0.008,0,0.001,0,0,0,0,0,0,0.001,0.049,0,0,0,kizgin
0.016,0.058,0.007,0.074,0,0,0.002,0.008,0.01,0.001,0.004,0.018000000000000002,0.008,0,0.005,kizgin
0,0.009,0,0.074,0,0.001,0.001,0,0,0.02,0,0.001,0.003,0,0,kizgin
0.003,0,0.004,0,0,0.01,0.095,0,0.003,0,0,0,0.006,0,0,kizgin
0.014,0.004,0,0,0,0,0,0,0.002,0,0,0.1,0.148,0.001,0,kizgin
0.001,0.02,0.003,0.002,0,0.003,0.016,0.005,0,0,0,0.007,0.048,0,0,kizgin
0.008,0.019,0,0.043000000000000003,0,0.002,0.013,0.087,0.001,0,0.002,0.005,0,0.002,0,kizgin
0.001,0.002,0,0,0,0,0,0.177,0,0,0.065,0,0.002,0,0,kizgin
0,0.02,0.003,0,0,0.003,0.014,0.005,0,0,0,0.007,0.02,0,0,kizgin
0.009000000000000001,0.011,0.011,0.004,0.002,0.07700000000000001,0.095,0,0.003,0,0.023,0.015,0.006,0,0.005,kizgin
0.021,0.037000000000000005,0.002,0.002,0.007,0.003,0.014,0,0.004,0.001,0.001,0,0.004,0,0.006,kizgin
0,0.038,0.002,0,0,0,0.016,0,0.004,0.005,0.001,0.004,0,0,0.006,kizgin
0.009000000000000001,0.043000000000000003,0.003,0.029,0.004,0.002,0.031,0.087,0.005,0.001,0.003,0,0,0.002,0.006,kizgin
0.016,0.058,0.007,0.002,0,0,0.001,0.008,0.011,0.008,0.004,0.011,0.138,0,0.005,kizgin
0.002,0.033,0.002,0.004,0,0,0.014,0,0.004,0.001,0.001,0,0,0,0.035,kizgin
0.016,0.004,0,0,0,0,0,0,0.001,0,0,0.098,0.023,0.001,0,kizgin
0,0.001,0,0.074,0,0.003,0.001,0,0,0.001,0,0.001,0.003,0.003,0,kizgin
0.003,0.004,0,0,0,0.039,0.095,0.027,0.003,0,0.112,0,0.043000000000000003,0,0,kizgin
0.004,0.026000000000000002,0.006,0.002,0,0.003,0.014,0.009000000000000001,0,0,0.004,0.007,0.02,0,0,kizgin
0.014,0.004,0,0,0,0,0,0,0.002,0,0,0.1,0.148,0.001,0,kizgin
0,0,0,0.072,0,0,0.001,0,0,0.001,0,0.001,0.003,0,0,kizgin
0,0.033,0.002,0,0,0,0.014,0,0.004,0.001,0.001,0,0,0,0.006,kizgin
0.003,0,0,0,0,0.01,0.095,0,0.003,0,0,0,0.006,0,0,kizgin
0,0.002,0,0,0,0,0,0,0.011,0,0,0,0,0,0,kizgin
0.003,0,0.003,0.001,0,0.01,0.095,0.004,0.003,0,0,0,0.006,0,0,kizgin
0.003,0,0,0,0,0.01,0.095,0,0.003,0,0,0,0.006,0,0,kizgin
0,0.033,0.002,0,0,0,0.014,0,0.004,0.001,0.001,0,0,0,0.006,kizgin
0.003,0.009,0.027999999999999997,0.108,0,0,0.004,0.003,0,0,0.001,0.011,0,0,0,kizgin
0.017,0.058,0.008,0.002,0,0,0.001,0.008,0.01,0,0.004,0.009,0.005,0,0.005,kizgin
0.008,0.01,0,0.029,0,0.002,0.011,0.087,0.001,0,0.002,0,0,0.002,0,kizgin
0,0.009,0.026,0.027,0,0,0.002,0,0,0,0,0.005,0,0,0,kizgin
0,0.018,0.026,0.047,0,0.003,0.004,0,0,0.019,0.004,0.01,0,0,0,kizgin
0,0.009,0.026,0.032,0,0,0.002,0,0,0,0,0.005,0,0,0,kizgin
0.001,0.033,0.002,0.007,0,0,0.014,0,0.004,0.001,0.001,0,0,0,0.033,kizgin
0,0,0.026,0.013,0,0,0,0,0,0,0,0,0,0,0,kizgin
0,0.001,0.028999999999999998,0.013,0,0,0,0,0,0,0,0,0,0,0,kizgin
0.016,0.058,0.007,0.002,0,0,0.013000000000000001,0.008,0.018000000000000002,0,0.004,0.009,0.005,0.013,0.005,kizgin
0,0.035,0.002,0.072,0,0,0.015,0,0.004,0.002,0.001,0.001,0.003,0,0.006,kizgin
0,0,0.027,0.013,0,0,0,0,0,0,0,0,0,0,0,kizgin
0.002,0,0,0.01,0.001,0,0.002,0,0,0,0,0.088,0,0,0.005,kizgin
0,0,0.026,0.013,0,0,0,0,0,0,0,0,0,0,0,kizgin
0.008,0.006,0.028999999999999998,0.006,0,0,0.01,0.012,0,0,0.004,0.01,0.008,0,0,kizgin
0.007,0.002,0.013,0.004,0,0.001,0.005,0.004,0,0,0,0.015,0.004,0,0,kizgin
0,0.004,0,0,0,0.035,0.001,0,0.004,0,0.007,0.044,0,0,0,kizgin
0.006,0,0.039,0.006,0,0,0.015,0.012,0,0,0,0.015,0.012,0,0,kizgin
0.003,0,0,0,0,0.016,0.095,0,0.017,0,0,0,0.006,0,0,kizgin
0.003,0,0.021,0.001,0.003,0.01,0.095,0,0.003,0,0.001,0.014,0.10500000000000001,0.001,0,kizgin
0,0,0,0.072,0,0,0.001,0,0,0.001,0,0.001,0.003,0,0,kizgin
0.038,0,0.013999999999999999,0.11599999999999999,0.046,0,0.005,0.012,0,0.002,0,0.005,0.006,0.07,0.012,kizgin
0,0,0,0.072,0,0,0.001,0,0,0.001,0,0.001,0.003,0,0,kizgin
0.005,0,0.022,0.08700000000000001,0.004,0,0.029,0.007,0,0,0.001,0.011,0.004,0,0,kizgin
0.003,0,0,0,0,0.01,0.095,0,0.003,0,0,0,0.006,0,0,kizgin
0.003,0,0,0,0,0.01,0.1,0,0.003,0,0,0,0.006,0,0,kizgin
